brand,eans,file_urls,files,model,model_2,product,product_lang,product_parent,source,thumb,type,url
Danby,,https://www.danby.com/wp-content/uploads/2020/08/DWC94L1B_EFSOM_20200302.pdf,,DWC94L1B,,Wine Coolers,en,Entertaining,danby.com,https://www.danby.com/wp-content/uploads/2020/08/Web-1_DWC94L1B_Front_Propped-525x1050.jpg,Owner's Manual,https://www.danby.com/products/wine-coolers/dwc94l1b/
Danby,,https://www.danby.com/products/freezers/dcf072a2xwdb1/?o=pdf,,DCF072A2XWDB1,,Freezers,en,Refrigeration,danby.com,https://www.danby.com/wp-content/themes/danby/images/no-image-available.png,Product Specifications,https://www.danby.com/products/freezers/dcf072a2xwdb1/
Danby,,https://www.danby.com/wp-content/uploads/2020/11/DFF110A1BSSDD-A1WDB1-A1WDBL1-Energy-Card-2.pdf,,DFF110A1WDBL1,,Apartment Size Refrigerators,en,Refrigeration,danby.com,https://www.danby.com/wp-content/themes/danby/images/no-image-available.png,Energy Guide,https://www.danby.com/products/apartment-size-refrigerators/dff110a1wdbl1/
Danby,,https://www.danby.com/wp-content/uploads/2020/08/DWC94L1B-Energy-label-1.pdf,,DWC94L1B,,Wine Coolers,en,Entertaining,danby.com,https://www.danby.com/wp-content/uploads/2020/08/Web-1_DWC94L1B_Front_Propped-525x1050.jpg,Energy Guide,https://www.danby.com/products/wine-coolers/dwc94l1b/
Danby,,https://www.danby.com/products/apartment-size-refrigerators/dff110a1wdbl1/?o=pdf,,DFF110A1WDBL1,,Apartment Size Refrigerators,en,Refrigeration,danby.com,https://www.danby.com/wp-content/themes/danby/images/no-image-available.png,Product Specifications,https://www.danby.com/products/apartment-size-refrigerators/dff110a1wdbl1/
Danby,,https://www.danby.com/products/wine-coolers/dwc94l1b/?o=pdf,,DWC94L1B,,Wine Coolers,en,Entertaining,danby.com,https://www.danby.com/wp-content/uploads/2020/08/Web-1_DWC94L1B_Front_Propped-525x1050.jpg,Product Specifications,https://www.danby.com/products/wine-coolers/dwc94l1b/
Danby,,https://www.danby.com/wp-content/uploads/2017/08/DCR032C1BSLDD_DCR032C1BSLDD-3_EFSOM_20181018.pdf,,DCR032C1BSLDD-3,,Compact Refrigerators,en,Refrigeration,danby.com,https://www.danby.com/wp-content/uploads/2017/08/DCR032C1BSLDD_Right-606x838.jpg,Owner's Manual,https://www.danby.com/products/compact-refrigerators/dcr032c1bsldd-3/
Danby,,https://www.danby.com/wp-content/uploads/2020/07/DCR032C1BSLDD-3_Energy_Label.pdf,,DCR032C1BSLDD-3,,Compact Refrigerators,en,Refrigeration,danby.com,https://www.danby.com/wp-content/uploads/2017/08/DCR032C1BSLDD_Right-606x838.jpg,Energy Guide,https://www.danby.com/products/compact-refrigerators/dcr032c1bsldd-3/
Danby,,https://www.danby.com/products/compact-refrigerators/dcr032c1bsldd-3/?o=pdf,,DCR032C1BSLDD-3,,Compact Refrigerators,en,Refrigeration,danby.com,https://www.danby.com/wp-content/uploads/2017/08/DCR032C1BSLDD_Right-606x838.jpg,Product Specifications,https://www.danby.com/products/compact-refrigerators/dcr032c1bsldd-3/
Danby,,https://www.danby.com/wp-content/uploads/2020/07/DFF180E1BSS_EFSOM_20180402.pdf,,DFF180E1BSS,,Apartment Size Refrigerators,en,Refrigeration,danby.com,https://www.danby.com/wp-content/themes/danby/images/no-image-available.png,Owner's Manual,https://www.danby.com/products/apartment-size-refrigerators/dff180e1bss/
