brand,eans,file_urls,files,model,model_2,product,product_lang,product_parent,source,thumb,type,url
Danby,,https://www.danby.com/wp-content/uploads/2016/03/DWC93BLSDB_DWC93BLSDB-3_DWC93BLSDBR1_EFSOM_20180615.pdf,,36 Bottle Wine Cooler,,Entertaining,en,,danby.com,https://www.danby.com/wp-content/uploads/2016/04/proMed-dwc93blsdb_right.jpg,Owner's Manual,https://www.danby.com/en-us/products/entertaining-en-us/dwc93blsdb/
Danby,,https://www.danby.com/wp-content/uploads/2016/03/DWC93BLSDB-DWC93BLDBR1-Energy-Card-1.pdf,,36 Bottle Wine Cooler,,Entertaining,en,,danby.com,https://www.danby.com/wp-content/uploads/2016/04/proMed-dwc93blsdb_right.jpg,Energy Guide,https://www.danby.com/en-us/products/entertaining-en-us/dwc93blsdb/
Danby,,https://www.danby.com/wp-content/uploads/2019/03/DR200WGLP_DR240WGLP_20140605.pdf,,2.4 cu. ft. Range,,Kitchen,en,,danby.com,https://www.danby.com/wp-content/uploads/2016/04/DR200WGLP_Right1.jpg,Owner's Manual,https://www.danby.com/en-us/products/kitchen-en-us/dr200wglp/
Danby,,https://www.danby.com/en-us/products/entertaining-en-us/dwc93blsdb/?o=pdf,,36 Bottle Wine Cooler,,Entertaining,en,,danby.com,https://www.danby.com/wp-content/uploads/2016/04/proMed-dwc93blsdb_right.jpg,Product Specifications,https://www.danby.com/en-us/products/entertaining-en-us/dwc93blsdb/
Danby,,https://www.danby.com/en-us/products/kitchen-en-us/dr200wglp/?o=pdf,,2.4 cu. ft. Range,,Kitchen,en,,danby.com,https://www.danby.com/wp-content/uploads/2016/04/DR200WGLP_Right1.jpg,Product Specifications,https://www.danby.com/en-us/products/kitchen-en-us/dr200wglp/
Danby,,https://www.danby.com/wp-content/uploads/2017/03/DPA140HCB1WDD_EFSOM_20180122.pdf,,Designer 14000 BTU Portable Air Conditioner,,Portable Air Conditioners,en,,danby.com,https://www.danby.com/wp-content/uploads/2016/02/Large_DPA140HB1WDD9-606x758.jpg,Owner's Manual,https://www.danby.com/en-us/products/portable-air-conditioners-en-us/dpa140hcb1wdd/
Danby,,https://www.danby.com/en-us/products/portable-air-conditioners-en-us/dpac7820/?o=pdf,,Portable Air Conditioner,,Portable Air Conditioners,en,,danby.com,https://www.danby.com/wp-content/themes/danby/images/no-image-available.png,Product Specifications,https://www.danby.com/en-us/products/portable-air-conditioners-en-us/dpac7820/
Danby,,https://www.danby.com/en-us/products/portable-air-conditioners-en-us/dpa140hcb1wdd/?o=pdf,,Designer 14000 BTU Portable Air Conditioner,,Portable Air Conditioners,en,,danby.com,https://www.danby.com/wp-content/uploads/2016/02/Large_DPA140HB1WDD9-606x758.jpg,Product Specifications,https://www.danby.com/en-us/products/portable-air-conditioners-en-us/dpa140hcb1wdd/
Danby,,https://www.danby.com/wp-content/uploads/2019/03/DR201BSSGLP_ESOM_20160314.pdf,,3 cu. ft. Range,,Kitchen,en,,danby.com,https://www.danby.com/wp-content/uploads/2016/04/DR240WGLP_Right.jpg,Owner's Manual,https://www.danby.com/en-us/products/kitchen-en-us/dr240wglp/
Danby,,https://www.danby.com/en-us/products/kitchen-en-us/dr240wglp/?o=pdf,,3 cu. ft. Range,,Kitchen,en,,danby.com,https://www.danby.com/wp-content/uploads/2016/04/DR240WGLP_Right.jpg,Product Specifications,https://www.danby.com/en-us/products/kitchen-en-us/dr240wglp/
Danby,,https://www.danby.com/fr/products/fours-a-micro-ondes/dmw920w/?o=pdf,,Diplomat 0.9 pi3 Fours à micro-onde,,Fours A Micro Ondes,,,danby.com,https://www.danby.com/wp-content/themes/danby/images/no-image-available.png,Caractéristiques du produit,https://www.danby.com/fr/products/fours-a-micro-ondes/dmw920w/
brand,eans,file_urls,files,model,model_2,product,product_lang,product_parent,source,thumb,type,url
Danby,,https://www.danby.com/fr/products/fours-a-micro-ondes/dmw920w/?o=pdf,,Diplomat 0.9 pi3 Fours à micro-onde,,Fours A Micro Ondes,,,danby.com,https://www.danby.com/wp-content/themes/danby/images/no-image-available.png,Caractéristiques du produit,https://www.danby.com/fr/products/fours-a-micro-ondes/dmw920w/
Danby,,https://www.danby.com/fr/products/refrigerateurs-pour-petites-surfaces/dff311wlhdd/?o=pdf,,Designer 11  pi3 Réfrigérateurs pour petites surface,,Reigerateurs Pour Petites Surfaces,,,danby.com,https://www.danby.com/wp-content/uploads/2015/10/proMed-DFF311WLHDD_closed1.jpg,Caractéristiques du produit,https://www.danby.com/fr/products/refrigerateurs-pour-petites-surfaces/dff311wlhdd/
Danby,,https://www.danby.com/fr/products/fours-a-micro-ondes/dmw952w/?o=pdf,,Fours à micro-onde,,Fours A Micro Ondes,,,danby.com,https://www.danby.com/wp-content/themes/danby/images/no-image-available.png,Caractéristiques du produit,https://www.danby.com/fr/products/fours-a-micro-ondes/dmw952w/
Danby,,https://www.danby.com/wp-content/uploads/2016/04/DWC620_EFOM1.pdf,,Maitre'D 6  Wine Cooler,,Entertaining,en,,danby.com,https://www.danby.com/wp-content/uploads/2016/04/proMed-dwc620pl-sc.jpg,Owner's Manual,https://www.danby.com/en-us/products/entertaining-en-us/dwc620pl-sc-2/
Danby,,https://www.danby.com/en-us/products/entertaining-en-us/dwc620pl-sc-2/?o=pdf,,Maitre'D 6  Wine Cooler,,Entertaining,en,,danby.com,https://www.danby.com/wp-content/uploads/2016/04/proMed-dwc620pl-sc.jpg,Product Specifications,https://www.danby.com/en-us/products/entertaining-en-us/dwc620pl-sc-2/
Danby,,https://www.danby.com/fr/products/refrigeration-compact/scr79w/?o=pdf,,Simplicity Réfrigération Compact,,Reigeration Compact,,,danby.com,https://www.danby.com/wp-content/themes/danby/images/no-image-available.png,Caractéristiques du produit,https://www.danby.com/fr/products/refrigeration-compact/scr79w/
Danby,,https://www.danby.com/en-us/products/entertaining-en-us/dwc620bl-sc/?o=pdf,,Maitre'D 6 Bottle Wine Cooler,,Entertaining,en,,danby.com,https://www.danby.com/wp-content/uploads/2016/04/proMed-dwc620bl_right.jpg,Product Specifications,https://www.danby.com/en-us/products/entertaining-en-us/dwc620bl-sc/
